"Combination"
"player_tie_rate + sum_defense_interceptions + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_receptions + sum_rushing_yards"
"player_tie_rate + sum_defense_interceptions + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_receptions + sum_rushing_attempts"
"player_tie_rate + sum_defense_interceptions + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_yards + sum_rushing_yards"
"player_L + player_tie_rate + sum_passing_rating + sum_passing_sacks + sum_passing_touchdowns + sum_rushing_attempts"
"player_L + player_tie_rate + sum_passing_rating + sum_passing_sacks + sum_passing_yards + sum_rushing_attempts"
"player_L + player_tie_rate + sum_passing_rating + sum_passing_sacks_yards_lost + sum_passing_touchdowns + sum_rushing_attempts"
"player_tie_rate + sum_defense_interceptions + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_yards + sum_rushing_attempts"
"player_L + player_tie_rate + sum_passing_rating + sum_passing_sacks_yards_lost + sum_passing_yards + sum_rushing_attempts"
"player_L + player_tie_rate + sum_passing_rating + sum_passing_sacks + sum_passing_yards + sum_rushing_touchdowns"
"player_L + player_tie_rate + sum_passing_rating + sum_passing_sacks_yards_lost + sum_passing_yards + sum_rushing_touchdowns"
"player_L + player_tie_rate + sum_defense_tackles + sum_passing_rating + sum_rushing_attempts + sum_rushing_touchdowns"
"player_L + player_tie_rate + sum_kick_return_yards + sum_passing_yards + sum_rushing_attempts + sum_rushing_touchdowns"
"player_L + player_tie_rate + sum_kick_return_attempts + sum_kick_return_yards + sum_passing_rating + sum_rushing_yards"
"player_L + player_tie_rate + sum_kick_return_attempts + sum_passing_rating + sum_rushing_attempts + sum_rushing_touchdowns"
"player_L + player_tie_rate + sum_defense_tackles + sum_kick_return_yards + sum_passing_attempts + sum_rushing_yards"
"player_L + player_tie_rate + sum_kick_return_yards + sum_passing_completions + sum_rushing_yards"
"player_L + player_tie_rate + sum_kick_return_yards + sum_passing_attempts + sum_passing_rating + sum_rushing_yards"
"player_L + player_tie_rate + sum_passing_rating + sum_rushing_attempts + sum_rushing_touchdowns"
"player_L + player_tie_rate + sum_passing_interceptions + sum_passing_touchdowns + sum_rushing_yards"
"player_L + player_tie_rate + sum_kick_return_attempts + sum_passing_yards + sum_rushing_attempts + sum_rushing_touchdowns"
"player_tie_rate + sum_defense_interceptions + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_touchdowns + sum_rushing_yards"
"player_tie_rate + sum_defense_interceptions + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_touchdowns + sum_rushing_attempts"
"player_tie_rate + sum_defense_interception_yards + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_receptions + sum_rushing_attempts"
"player_tie_rate + sum_defense_interception_yards + sum_defense_tackle_assists + sum_defense_tackles + sum_receiving_receptions + sum_rushing_yards"
"player_L + player_tie_rate + sum_kick_return_yards + sum_passing_sacks_yards_lost + sum_passing_touchdowns + sum_rushing_attempts"
"player_L + player_tie_rate + sum_kick_return_yards + sum_passing_sacks + sum_passing_touchdowns + sum_rushing_attempts"
