Rk,Coach,Yrs,From,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%.1,AvRk,BstRk,Chmp,SBwl,Conf
39,Norv Turner,15,1994,2012,237,114,122,1,0.483,-8,4.0,8.0,4.0,4.0,0.5,2.5,1,0.0,0.0,0.0
40,Dennis Green,13,1992,2006,207,113,94,0,0.546,19,8.0,12.0,4.0,8.0,0.333,2.5,1,0.0,0.0,0.0
41,Don Coryell+,14,1973,1986,195,111,83,1,0.572,28,6.0,9.0,3.0,6.0,0.333,2.8,1,0.0,0.0,0.0
42,Buddy Parker,15,1949,1964,188,104,75,9,0.581,29,3.0,4.0,3.0,1.0,0.75,3.2,1,2.0,0.0,0.0
43,John Madden+,10,1969,1978,142,103,32,7,0.759,71,8.0,16.0,9.0,7.0,0.563,1.3,1,1.0,1.0,1.0
44,Ron Rivera,13,2011,2023,207,102,103,2,0.498,-1,5.0,8.0,3.0,5.0,0.375,2.5,1,0.0,0.0,1.0
45,Tom Flores+,12,1979,1994,184,97,87,0,0.527,10,5.0,11.0,8.0,3.0,0.727,3.3,1,2.0,2.0,2.0
46,Vince Lombardi+,10,1959,1969,136,96,34,6,0.738,62,6.0,10.0,9.0,1.0,0.9,1.5,1,5.0,2.0,2.0
47,Lou Saban,16,1960,1976,201,95,99,7,0.49,-4,4.0,4.0,2.0,2.0,0.5,3.0,1,2.0,0.0,0.0
48,Jack Del Rio,12,2003,2017,187,93,94,0,0.497,-1,3.0,4.0,1.0,3.0,0.25,2.8,2,0.0,0.0,0.0
49,Lovie Smith,12,2004,2022,193,92,100,1,0.479,-8,3.0,6.0,3.0,3.0,0.5,2.8,1,0.0,0.0,1.0
50,Bill Walsh+,10,1979,1988,152,92,59,1,0.609,33,7.0,14.0,10.0,4.0,0.714,1.8,1,3.0,3.0,3.0
51,Buck Shaw,12,1946,1960,150,90,55,5,0.621,35,2.0,3.0,2.0,1.0,0.667,2.6,1,1.0,0.0,0.0
52,Jimmy Conzelman+,15,1921,1948,167,87,63,17,0.58,24,2.0,2.0,1.0,1.0,0.5,4.7,1,2.0,0.0,0.0
53,Ted Marchibroda,12,1975,1998,186,87,98,1,0.47,-11,4.0,6.0,2.0,4.0,0.333,3.3,1,0.0,0.0,0.0
54,Jack Pardee,11,1975,1994,164,87,77,0,0.53,10,5.0,6.0,1.0,5.0,0.167,2.4,1,0.0,0.0,0.0
55,Jason Garrett,10,2010,2019,152,85,67,0,0.559,18,3.0,5.0,2.0,3.0,0.4,2.2,1,0.0,0.0,0.0
56,Sam Wyche,12,1984,1995,191,84,107,0,0.44,-23,2.0,5.0,3.0,2.0,0.6,3.2,1,0.0,0.0,1.0
57,Gary Kubiak,10,2006,2016,157,82,75,0,0.522,7,3.0,7.0,5.0,2.0,0.714,2.6,1,1.0,1.0,1.0
58,Bum Phillips,11,1975,1985,159,82,77,0,0.516,5,3.0,7.0,4.0,3.0,0.571,2.8,2,0.0,0.0,0.0
59,Wade Phillips,12,1985,2013,146,82,64,0,0.562,18,5.0,6.0,1.0,5.0,0.167,2.9,1,0.0,0.0,0.0
60,Dave Wannstedt,11,1993,2004,169,82,87,0,0.485,-5,3.0,5.0,2.0,3.0,0.4,3.3,1,0.0,0.0,0.0
61,Bruce Arians,8,2013,2021,129,80,48,1,0.624,32,4.0,9.0,6.0,3.0,0.667,2.1,1,1.0,1.0,1.0
62,Brian Billick,9,1999,2007,144,80,64,0,0.556,16,4.0,8.0,5.0,3.0,0.625,2.3,1,1.0,1.0,1.0
63,Ray Flaherty+,11,1936,1949,122,80,37,5,0.684,43,6.0,6.0,2.0,4.0,0.333,1.9,1,2.0,0.0,0.0
