Rk,Coach,Yrs,From,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%.1,AvRk,BstRk,Chmp,SBwl,Conf
196,Phil Bengtson,4,1968,1972,47,21,25,1,0.457,-4,0.0,0.0,0.0,0.0,,3.5,3,0.0,0.0,0.0
197,Ron Erhardt,4,1978,1981,49,21,28,0,0.429,-7,0.0,0.0,0.0,0.0,,2.5,1,0.0,0.0,0.0
198,Leslie Frazier,4,2010,2013,54,21,32,1,0.398,-11,1.0,1.0,0.0,1.0,0.0,3.5,2,,,
199,Bill McPeak,5,1961,1965,70,21,46,3,0.313,-25,0.0,0.0,0.0,0.0,,4.8,3,0.0,0.0,0.0
200,Raheem Morris,4,2009,2020,59,21,38,0,0.356,-17,0.0,0.0,0.0,0.0,,3.8,3,0.0,0.0,0.0
201,Arthur Smith,3,2021,2023,51,21,30,0,0.412,-9,,,,,,3.3,3,,,
202,Harland Svare,7,1962,1973,74,21,48,5,0.31,-27,0.0,0.0,0.0,0.0,,5.1,3,0.0,0.0,0.0
203,Jim Dooley,4,1968,1971,56,20,36,0,0.357,-16,0.0,0.0,0.0,0.0,,3.3,2,0.0,0.0,0.0
204,Gus Dorais,5,1943,1947,53,20,31,2,0.392,-11,0.0,0.0,0.0,0.0,,3.4,2,0.0,0.0,0.0
205,Mike McDaniel,2,2022,2023,34,20,14,0,0.588,6,2.0,2.0,0.0,2.0,0.0,2.0,2,,,
206,Josh McDaniels,4,2009,2023,53,20,33,0,0.377,-13,0.0,0.0,0.0,0.0,,2.8,2,0.0,0.0,0.0
207,John Michelosen,4,1948,1951,48,20,26,2,0.435,-6,0.0,0.0,0.0,0.0,,3.0,2,0.0,0.0,0.0
208,Kevin O'Connell,2,2022,2023,34,20,14,0,0.588,6,1.0,1.0,0.0,1.0,0.0,2.0,1,,,
209,Joe Stydahar+,5,1950,1954,49,20,28,1,0.417,-8,2.0,3.0,2.0,1.0,0.667,3.2,1,1.0,0.0,0.0
210,Frankie Albert,3,1956,1958,36,19,16,1,0.543,3,1.0,1.0,0.0,1.0,0.0,2.7,1,0.0,0.0,0.0
211,Red Dawson,4,1946,1949,48,19,25,4,0.432,-6,1.0,2.0,1.0,1.0,0.5,2.3,1,0.0,0.0,0.0
212,Vic Fangio,3,2019,2021,49,19,30,0,0.388,-11,,,,,,3.3,2,0.0,0.0,0.0
213,Todd Haley,3,2009,2011,45,19,26,0,0.422,-7,1.0,1.0,0.0,1.0,0.0,3.0,1,0.0,0.0,0.0
214,Dirk Koetter,3,2016,2018,48,19,29,0,0.396,-10,,,,,,3.3,2,0.0,0.0,0.0
215,David Shula,5,1992,1996,71,19,52,0,0.268,-33,0.0,0.0,0.0,0.0,,3.2,2,0.0,0.0,0.0
216,Pat Shurmur,5,2011,2019,65,19,46,0,0.292,-27,0.0,0.0,0.0,0.0,,3.4,2,0.0,0.0,0.0
217,Sammy Baugh+,3,1960,1964,42,18,24,0,0.429,-6,0.0,0.0,0.0,0.0,,3.0,2,0.0,0.0,0.0
218,Bill Callahan,3,2002,2019,43,18,25,0,0.419,-7,1.0,3.0,2.0,1.0,0.667,2.7,1,0.0,0.0,1.0
219,Bill Johnson,3,1976,1978,33,18,15,0,0.545,3,0.0,0.0,0.0,0.0,,2.7,2,0.0,0.0,0.0
220,Mike Nolan,4,2005,2008,55,18,37,0,0.327,-19,0.0,0.0,0.0,0.0,,3.0,2,,,
221,Darryl Rogers,4,1985,1988,58,18,40,0,0.31,-22,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
222,Robert Saleh,3,2021,2023,51,18,33,0,0.353,-15,,,,,,3.7,3,,,
223,Mike Singletary+,3,2008,2010,40,18,22,0,0.45,-4,0.0,0.0,0.0,0.0,,2.3,2,0.0,0.0,0.0
224,Bill Austin,4,1966,1970,56,17,36,3,0.321,-19,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
225,Lisle Blackbourn,4,1954,1957,48,17,31,0,0.354,-14,0.0,0.0,0.0,0.0,,4.8,3,0.0,0.0,0.0
226,Tom Cable,3,2008,2010,44,17,27,0,0.386,-10,0.0,0.0,0.0,0.0,,3.0,3,,,
227,Otto Graham+,3,1966,1968,42,17,22,3,0.436,-5,0.0,0.0,0.0,0.0,,3.7,3,0.0,0.0,0.0
228,Dave McGinnis,4,2000,2003,57,17,40,0,0.298,-23,0.0,0.0,0.0,0.0,,4.3,4,0.0,0.0,0.0
229,Al Saunders,3,1986,1988,39,17,22,0,0.436,-5,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
230,Dewey Scanlon,4,1924,1929,36,17,15,4,0.531,2,0.0,0.0,0.0,0.0,,8.0,4,0.0,0.0,0.0
231,Norm Barry,2,1925,1926,26,16,8,2,0.667,8,0.0,0.0,0.0,0.0,,5.5,1,1.0,0.0,0.0
232,Milan Creighton,4,1935,1938,46,16,26,4,0.381,-10,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
233,Gunther Cunningham,2,1999,2000,32,16,16,0,0.5,0,0.0,0.0,0.0,0.0,,2.5,2,0.0,0.0,0.0
234,Turk Edwards+,3,1946,1948,35,16,18,1,0.471,-2,0.0,0.0,0.0,0.0,,3.0,2,0.0,0.0,0.0
235,Elgie Tobin,2,1920,1921,23,16,3,4,0.842,13,0.0,0.0,0.0,0.0,,2.0,1,1.0,0.0,0.0
236,Dave Campo,3,2000,2002,48,15,33,0,0.313,-18,0.0,0.0,0.0,0.0,,4.3,4,0.0,0.0,0.0
237,Brian Daboll,2,2022,2023,34,15,18,1,0.456,-3,1.0,2.0,1.0,1.0,0.5,3.0,3,,,
238,Rick Forzano,3,1974,1976,32,15,17,0,0.469,-2,0.0,0.0,0.0,0.0,,2.3,2,0.0,0.0,0.0
239,Earl Potteiger,3,1924,1928,31,15,12,4,0.556,3,0.0,0.0,0.0,0.0,,7.7,1,1.0,0.0,0.0
240,Nick Saban,2,2005,2006,32,15,17,0,0.469,-2,0.0,0.0,0.0,0.0,,3.0,2,0.0,0.0,0.0
241,Adam Walsh,2,1945,1946,21,15,5,1,0.75,10,1.0,1.0,1.0,0.0,1.0,1.5,1,1.0,0.0,0.0
242,Ed Weir,2,1927,1928,26,15,7,4,0.682,8,0.0,0.0,0.0,0.0,,4.5,2,0.0,0.0,0.0
243,Mike White,2,1995,1996,32,15,17,0,0.469,-2,0.0,0.0,0.0,0.0,,4.5,4,,,
244,Punk Berryman,2,1924,1926,25,14,10,1,0.583,4,0.0,0.0,0.0,0.0,,8.5,3,0.0,0.0,0.0
245,Gus Bradley,4,2013,2016,62,14,48,0,0.226,-34,0.0,0.0,0.0,0.0,,3.3,3,0.0,0.0,0.0
246,Ray Handley,2,1991,1992,32,14,18,0,0.438,-4,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
247,Bo McMillin,4,1948,1951,38,14,24,0,0.368,-10,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
248,John McVay,3,1976,1978,37,14,23,0,0.378,-9,0.0,0.0,0.0,0.0,,5.0,5,,,
249,Ray Richards,3,1955,1957,36,14,21,1,0.4,-7,0.0,0.0,0.0,0.0,,4.0,2,0.0,0.0,0.0
250,Mike Riley,3,1999,2001,48,14,34,0,0.292,-20,0.0,0.0,0.0,0.0,,4.3,3,0.0,0.0,0.0
251,Gene Ronzani,4,1950,1953,46,14,31,1,0.311,-17,0.0,0.0,0.0,0.0,,5.0,4,0.0,0.0,0.0
252,Babe Ruetz,3,1922,1924,31,14,11,6,0.56,3,0.0,0.0,0.0,0.0,,7.7,6,0.0,0.0,0.0
253,Paul Schissler,4,1933,1936,46,14,29,3,0.326,-15,0.0,0.0,0.0,0.0,,3.8,2,0.0,0.0,0.0
254,Clark Shaughnessy,2,1948,1949,24,14,7,3,0.667,7,1.0,1.0,0.0,1.0,0.0,2.0,1,0.0,0.0,0.0
255,Jim Thorpe+,4,1920,1923,41,14,25,2,0.359,-11,0.0,0.0,0.0,0.0,,12.0,8,0.0,0.0,0.0
256,Bull Behman,3,1929,1931,40,13,20,7,0.394,-7,0.0,0.0,0.0,0.0,,7.0,3,0.0,0.0,0.0
257,Rich Brooks,2,1995,1996,32,13,19,0,0.406,-6,0.0,0.0,0.0,0.0,,3.0,3,,,
258,Joe Collier,3,1966,1968,30,13,16,1,0.448,-3,1.0,1.0,0.0,1.0,0.0,3.0,1,0.0,0.0,0.0
259,Cap Edwards,3,1921,1925,31,13,11,7,0.542,2,0.0,0.0,0.0,0.0,,7.0,4,0.0,0.0,0.0
260,Tom Fears+,4,1967,1970,49,13,34,2,0.277,-21,0.0,0.0,0.0,0.0,,3.5,3,0.0,0.0,0.0
261,Arnie Horween,2,1923,1924,22,13,8,1,0.619,5,0.0,0.0,0.0,0.0,,7.0,6,0.0,0.0,0.0
262,Ben McAdoo,2,2016,2017,28,13,15,0,0.464,-2,1.0,1.0,0.0,1.0,0.0,3.0,2,0.0,0.0,0.0
263,Matt Patricia,3,2018,2020,43,13,29,1,0.314,-16,,,,,,4.0,4,0.0,0.0,0.0
264,Jimmy Phelan,4,1948,1952,50,13,35,2,0.271,-22,0.0,0.0,0.0,0.0,,5.0,3,0.0,0.0,0.0
265,Marc Trestman,2,2013,2014,32,13,19,0,0.406,-6,0.0,0.0,0.0,0.0,,3.0,2,,,
266,Lud Wray,4,1932,1935,41,13,25,3,0.342,-12,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
267,Jack Depler,3,1929,1931,38,12,21,5,0.364,-9,0.0,0.0,0.0,0.0,,7.0,4,0.0,0.0,0.0
268,Dick LeBeau+,3,2000,2002,45,12,33,0,0.267,-21,0.0,0.0,0.0,0.0,,5.0,4,0.0,0.0,0.0
269,Ernie Nevers+,4,1927,1939,41,12,27,2,0.308,-15,0.0,0.0,0.0,0.0,,6.8,4,0.0,0.0,0.0
270,Steve Spurrier,2,2002,2003,32,12,20,0,0.375,-8,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
271,Rube Ursella,3,1920,1925,24,12,8,5,0.6,4,0.0,0.0,0.0,0.0,,8.3,4,0.0,0.0,0.0
272,Jim Zorn,2,2008,2009,32,12,20,0,0.375,-8,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
273,Bud Carson,2,1989,1990,25,11,13,1,0.46,-2,1.0,2.0,1.0,1.0,0.5,2.5,1,,,
274,Lone Star Dietz,2,1933,1934,24,11,11,2,0.5,0,0.0,0.0,0.0,0.0,,2.5,2,0.0,0.0,0.0
275,Abe Gibron,3,1972,1974,42,11,30,1,0.274,-19,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
276,Tommy Hudspeth,2,1976,1977,24,11,13,0,0.458,-2,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
277,Hue Jackson,4,2011,2018,56,11,44,1,0.205,-33,0.0,0.0,0.0,0.0,,3.5,3,0.0,0.0,0.0
278,Vance Joseph,2,2017,2018,32,11,21,0,0.344,-10,,,,,,3.5,3,0.0,0.0,0.0
279,Frank Kush,3,1982,1984,40,11,28,1,0.288,-17,0.0,0.0,0.0,0.0,,4.3,4,0.0,0.0,0.0
280,Scott Linehan,3,2006,2008,36,11,25,0,0.306,-14,0.0,0.0,0.0,0.0,,3.3,2,,,
281,John North,3,1973,1975,34,11,23,0,0.324,-12,0.0,0.0,0.0,0.0,,3.7,3,0.0,0.0,0.0
282,Buster Ramsey,2,1960,1961,28,11,16,1,0.407,-5,0.0,0.0,0.0,0.0,,3.5,3,0.0,0.0,0.0
283,Matt Rhule,3,2020,2022,38,11,27,0,0.289,-16,,,,,,3.0,2,0.0,0.0,0.0
284,Lou Rymkus,2,1960,1961,19,11,7,1,0.611,4,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,0.0,0.0
285,Greg Schiano,2,2012,2013,32,11,21,0,0.344,-10,0.0,0.0,0.0,0.0,,4.0,4,,,
286,Steve Spagnuolo,4,2009,2017,52,11,41,0,0.212,-30,0.0,0.0,0.0,0.0,,3.5,2,0.0,0.0,0.0
287,Paul Wiggin,3,1975,1977,35,11,24,0,0.314,-13,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
288,Bert Bell+,6,1936,1941,58,10,46,2,0.179,-36,0.0,0.0,0.0,0.0,,4.7,4,0.0,0.0,0.0
289,Matt Eberflus,2,2022,2023,34,10,24,0,0.294,-14,,,,,,3.5,3,,,
290,Guil Falcon,3,1920,1923,25,10,10,5,0.5,0,0.0,0.0,0.0,0.0,,8.3,4,0.0,0.0,0.0
291,Harry Gilmer,2,1965,1966,28,10,16,2,0.385,-6,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
292,Cecil Isbell,4,1947,1951,34,10,23,1,0.303,-13,1.0,1.0,0.0,1.0,0.0,4.5,1,0.0,0.0,0.0
293,Joe Judge,2,2020,2021,33,10,23,0,0.303,-13,,,,,,3.0,2,0.0,0.0,0.0
294,Rod Marinelli,3,2006,2008,48,10,38,0,0.208,-28,0.0,0.0,0.0,0.0,,3.7,3,0.0,0.0,0.0
295,Mike Pettine,2,2014,2015,32,10,22,0,0.313,-12,0.0,0.0,0.0,0.0,,4.0,4,,,
296,DeMeco Ryans,1,2023,2023,17,10,7,0,0.588,3,1.0,2.0,1.0,1.0,0.5,1.0,1,,,
297,Kay Stephenson,3,1983,1985,36,10,26,0,0.278,-16,0.0,0.0,0.0,0.0,,4.3,3,0.0,0.0,0.0
298,Jack Faulkner,3,1962,1964,32,9,22,1,0.29,-13,0.0,0.0,0.0,0.0,,3.3,2,0.0,0.0,0.0
299,Al Groh,1,2000,2000,16,9,7,0,0.563,2,0.0,0.0,0.0,0.0,,3.0,3,,,
300,John Mazur,3,1970,1972,30,9,21,0,0.3,-12,0.0,0.0,0.0,0.0,,4.3,3,0.0,0.0,0.0
301,Cap McEwan,2,1933,1934,21,9,11,1,0.45,-2,0.0,0.0,0.0,0.0,,2.5,2,0.0,0.0,0.0
302,Shane Steichen,1,2023,2023,17,9,8,0,0.529,1,,,,,,2.0,2,,,
303,Nelson Talbot,2,1920,1921,18,9,6,3,0.6,3,0.0,0.0,0.0,0.0,,7.0,6,0.0,0.0,0.0
304,Joe Vitt,2,2005,2012,21,9,12,0,0.429,-3,0.0,0.0,0.0,0.0,,2.5,2,,,
305,Charlie Waller,2,1969,1970,19,9,7,3,0.563,2,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
306,Bob Waterfield+,3,1960,1962,34,9,24,1,0.273,-15,0.0,0.0,0.0,0.0,,6.3,6,0.0,0.0,0.0
307,Bud Wilkinson,2,1978,1979,29,9,20,0,0.31,-11,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
308,Steve Wilks,2,2018,2022,28,9,19,0,0.321,-10,,,,,,3.0,2,0.0,0.0,0.0
309,Doc Alexander,2,1922,1926,18,8,8,2,0.5,0,0.0,0.0,0.0,0.0,,10.5,6,0.0,0.0,0.0
310,Ed Biles,3,1981,1983,31,8,23,0,0.258,-15,0.0,0.0,0.0,0.0,,3.7,3,,,
311,Hugh Campbell,2,1984,1985,30,8,22,0,0.267,-14,0.0,0.0,0.0,0.0,,4.0,4,,,
312,Bob Folwell,1,1925,1925,12,8,4,0,0.667,4,0.0,0.0,0.0,0.0,,4.0,4,,,
313,Jack Forsyth,2,1920,1921,16,8,6,2,0.571,2,0.0,0.0,0.0,0.0,,8.5,7,0.0,0.0,0.0
314,Frank Gansz,2,1987,1988,31,8,22,1,0.274,-14,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
315,Bob Hollway,2,1971,1972,28,8,18,2,0.315,-10,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
316,Ed Khayat,2,1971,1972,25,8,15,2,0.354,-7,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
317,Dick MacPherson,2,1991,1992,32,8,24,0,0.25,-16,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
318,Fritz Pollard+,2,1921,1925,13,8,4,1,0.667,4,0.0,0.0,0.0,0.0,,8.5,3,0.0,0.0,0.0
319,Homer Rice,2,1978,1979,27,8,19,0,0.296,-11,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
320,Carl Storck,5,1922,1926,38,8,26,4,0.235,-18,0.0,0.0,0.0,0.0,,13.6,7,0.0,0.0,0.0
321,Doug Wycoff,2,1929,1930,22,8,9,5,0.471,-1,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
322,Bill Arnsparger,3,1974,1976,35,7,28,0,0.2,-21,0.0,0.0,0.0,0.0,,4.7,4,,,
323,Rich Bisaccia,1,2021,2021,12,7,5,0,0.583,2,1.0,1.0,0.0,1.0,0.0,2.0,2,,,
324,Hugh Devore,3,1953,1957,26,7,18,1,0.28,-11,0.0,0.0,0.0,0.0,,5.7,5,0.0,0.0,0.0
325,Frank Filchock,2,1960,1961,28,7,20,1,0.259,-13,0.0,0.0,0.0,0.0,,3.5,3,0.0,0.0,0.0
326,Herb Kopf,3,1944,1946,31,7,22,2,0.241,-15,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
327,J.D. Roberts,3,1970,1972,35,7,25,3,0.227,-18,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
328,Ralph Scott,1,1927,1927,16,7,8,1,0.467,-1,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
329,Clipper Smith,2,1947,1948,24,7,16,1,0.304,-9,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
330,Jerry Williams,3,1969,1971,31,7,22,2,0.241,-15,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
331,Dutch Bergman,1,1943,1943,10,6,3,1,0.667,3,1.0,2.0,1.0,1.0,0.5,1.0,1,0.0,0.0,0.0
332,Johnny Blood+,3,1937,1939,25,6,19,0,0.24,-13,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
333,Eddie Erdelatz,2,1960,1961,16,6,10,0,0.375,-4,0.0,0.0,0.0,0.0,,3.5,3,0.0,0.0,0.0
334,Kevin Gilbride,2,1997,1998,22,6,16,0,0.273,-10,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
335,Archie Golembeski,1,1925,1925,12,6,5,1,0.545,1,0.0,0.0,0.0,0.0,,10.0,10,0.0,0.0,0.0
336,Gus Henderson,1,1939,1939,11,6,5,0,0.545,1,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
337,Tut Imlay,1,1926,1926,10,6,3,1,0.667,3,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
338,Freddie Kitchens,1,2019,2019,16,6,10,0,0.375,-4,,,,,,3.0,3,0.0,0.0,0.0
339,Brick Muller,1,1926,1926,10,6,3,1,0.667,3,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
340,Mike Nixon,3,1959,1965,38,6,30,2,0.167,-24,0.0,0.0,0.0,0.0,,6.0,5,0.0,0.0,0.0
341,Bob Snyder,1,1947,1947,12,6,6,0,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
342,Mac Speedie+,3,1964,1966,26,6,19,1,0.24,-13,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
343,Jim Tomsula,2,2010,2015,17,6,11,0,0.353,-5,0.0,0.0,0.0,0.0,,3.5,3,,,
344,John Armstrong,1,1924,1924,9,5,2,2,0.714,3,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
345,Clem Crowe,2,1949,1950,18,5,12,1,0.294,-7,1.0,1.0,0.0,1.0,0.0,5.5,4,0.0,0.0,0.0
346,Rod Dowhower,2,1985,1986,29,5,24,0,0.172,-19,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
347,Hal Erickson,1,1924,1924,13,5,8,0,0.385,-3,0.0,0.0,0.0,0.0,,12.0,12,0.0,0.0,0.0
348,Benny Friedman+,2,1930,1932,14,5,9,0,0.357,-4,0.0,0.0,0.0,0.0,,4.0,2,0.0,0.0,0.0
349,Hal Griffen,1,1930,1930,14,5,6,3,0.455,-1,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
350,Lane Kiffin,2,2007,2008,20,5,15,0,0.25,-10,0.0,0.0,0.0,0.0,,3.5,3,,,
351,Jim Laird,1,1926,1926,13,5,7,1,0.417,-2,0.0,0.0,0.0,0.0,,11.0,11,0.0,0.0,0.0
352,Ken Meyer,1,1977,1977,14,5,9,0,0.357,-4,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
353,Marty Mornhinweg,2,2001,2002,32,5,27,0,0.156,-22,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
354,Chris Palmer,2,1999,2000,32,5,27,0,0.156,-22,0.0,0.0,0.0,0.0,,6.0,6,,,
355,Antonio Pierce,1,2023,2023,9,5,4,0,0.556,1,,,,,,2.0,2,,,
356,Harry Robb,2,1925,1926,18,5,13,0,0.278,-8,0.0,0.0,0.0,0.0,,15.5,11,0.0,0.0,0.0
357,Clive Rush,2,1969,1970,21,5,16,0,0.238,-11,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
358,Dick Todd,1,1951,1951,9,5,4,0,0.556,1,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
359,Bulldog Turner+,1,1962,1962,14,5,9,0,0.357,-4,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
360,Herman Ball,3,1949,1951,20,4,16,0,0.2,-12,0.0,0.0,0.0,0.0,,4.3,3,0.0,0.0,0.0
361,Cliff Battles+,2,1946,1947,21,4,16,1,0.2,-12,0.0,0.0,0.0,0.0,,2.5,2,0.0,0.0,0.0
362,Scotty Bierce,1,1925,1925,8,4,2,2,0.667,2,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
363,Hank Bullough,3,1978,1986,22,4,18,0,0.182,-14,0.0,0.0,0.0,0.0,,3.3,1,0.0,0.0,0.0
364,Rob Chudzinski,1,2013,2013,16,4,12,0,0.25,-8,0.0,0.0,0.0,0.0,,4.0,4,,,
365,David Culley,1,2021,2021,17,4,13,0,0.235,-9,,,,,,3.0,3,,,
366,Russ Daugherty,1,1927,1927,10,4,4,2,0.5,0,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
367,Aldo Donelli,2,1941,1944,15,4,11,0,0.267,-7,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
368,Bill Edwards,2,1941,1942,14,4,9,1,0.308,-5,0.0,0.0,0.0,0.0,,4.0,3,0.0,0.0,0.0
369,Jonathan Gannon,1,2023,2023,17,4,13,0,0.235,-9,,,,,,4.0,4,,,
370,Nathaniel Hackett,1,2022,2022,15,4,11,0,0.267,-7,,,,,,4.0,4,,,
371,Phil Handler,5,1943,1951,38,4,34,0,0.105,-30,0.0,0.0,0.0,0.0,,4.6,3,0.0,0.0,0.0
372,Norb Hecker,3,1966,1968,31,4,26,1,0.133,-22,0.0,0.0,0.0,0.0,,5.0,4,0.0,0.0,0.0
373,Ed Hughes,1,1971,1971,14,4,9,1,0.308,-5,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
374,Jim Kendrick,2,1923,1926,13,4,7,2,0.364,-3,0.0,0.0,0.0,0.0,,14.0,9,0.0,0.0,0.0
375,Art Lewis,1,1938,1938,8,4,4,0,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
376,Gary Moeller,1,2000,2000,7,4,3,0,0.571,1,0.0,0.0,0.0,0.0,,4.0,4,,,
377,Richie Petitbon,1,1993,1993,16,4,12,0,0.25,-8,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
378,Ed Robinson,1,1931,1931,11,4,4,3,0.5,0,0.0,0.0,0.0,0.0,,6.0,6,0.0,0.0,0.0
379,Charley Rogers,1,1927,1927,10,4,4,2,0.5,0,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
380,John Sandusky,1,1972,1972,9,4,5,0,0.444,-1,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
381,Howard Schnellenberger,2,1973,1974,17,4,13,0,0.235,-9,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
382,Joey Sternaman,1,1923,1923,7,4,3,0,0.571,1,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
383,Hugh Taylor,1,1965,1965,14,4,10,0,0.286,-6,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
384,Red Weaver,2,1924,1925,17,4,13,0,0.235,-9,0.0,0.0,0.0,0.0,,13.0,10,0.0,0.0,0.0
385,Richard Williamson,2,1990,1991,19,4,15,0,0.211,-11,0.0,0.0,0.0,0.0,,3.5,2,,,
386,Swede Youngstrom,1,1927,1927,10,4,4,2,0.5,0,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
387,Jim Bates,1,2004,2004,7,3,4,0,0.429,-1,0.0,0.0,0.0,0.0,,4.0,4,,,
388,Wayne Brenkert,2,1923,1924,10,3,7,0,0.3,-4,0.0,0.0,0.0,0.0,,14.5,13,0.0,0.0,0.0
389,Untz Brewer,1,1922,1922,10,3,5,2,0.375,-2,0.0,0.0,0.0,0.0,,10.0,10,0.0,0.0,0.0
390,Marty Brill,1,1931,1931,7,3,3,1,0.5,0,0.0,0.0,0.0,0.0,,7.0,7,0.0,0.0,0.0
391,Forrest Douds,1,1933,1933,11,3,6,2,0.333,-3,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
392,Frank Fausch,2,1921,1922,8,3,5,0,0.375,-2,0.0,0.0,0.0,0.0,,10.5,6,0.0,0.0,0.0
393,Perry Fewell,2,2009,2019,11,3,8,0,0.273,-5,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
394,Mike Getto,1,1942,1942,11,3,8,0,0.273,-5,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
395,George Gibson,1,1930,1930,14,3,10,1,0.231,-7,0.0,0.0,0.0,0.0,,9.5,9,0.0,0.0,0.0
396,Pete Henry+,2,1926,1928,23,3,17,3,0.15,-14,0.0,0.0,0.0,0.0,,14.0,8,0.0,0.0,0.0
397,Wally Hess,3,1922,1924,18,3,12,3,0.2,-9,0.0,0.0,0.0,0.0,,13.3,10,0.0,0.0,0.0
398,Lou Holtz,1,1976,1976,13,3,10,0,0.231,-7,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
399,Jack Keogh,1,1926,1926,10,3,7,0,0.3,-4,0.0,0.0,0.0,0.0,,13.0,13,0.0,0.0,0.0
400,Billy Marshall,2,1920,1921,15,3,8,4,0.273,-5,0.0,0.0,0.0,0.0,,12.5,9,0.0,0.0,0.0
401,Keith Molesworth,1,1953,1953,12,3,9,0,0.25,-6,0.0,0.0,0.0,0.0,,5.0,5,0.0,0.0,0.0
402,Ted Nesser,2,1920,1921,19,3,14,2,0.176,-11,0.0,0.0,0.0,0.0,,15.0,13,0.0,0.0,0.0
403,Mike Palm,1,1933,1933,7,3,3,1,0.5,0,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
404,Pat Peppler,1,1976,1976,9,3,6,0,0.333,-3,0.0,0.0,0.0,0.0,,3.0,3,0.0,0.0,0.0
405,Bobby Petrino,1,2007,2007,13,3,10,0,0.231,-7,0.0,0.0,0.0,0.0,,4.0,4,0.0,0.0,0.0
406,Jim Ringo+,2,1976,1977,23,3,20,0,0.13,-17,0.0,0.0,0.0,0.0,,4.5,4,0.0,0.0,0.0
